x_mm,n_events,nearest_sipm_id,mean_npe_top_total,mean_npe_top_nearest,frac_T4,mean_npe_top_T4,frac_T20,mean_npe_top_T20
-690,2000,16,2275.337,318.6865,1.0,2275.337,1.0,2275.337
-670,2000,17,2563.826,318.4955,1.0,2563.826,1.0,2563.826
-650,2000,18,2770.495,317.989,1.0,2770.495,1.0,2770.495
-600,2000,21,3153.3345,370.7175,1.0,3153.3345,1.0,3153.3345
-550,2000,23,3344.7505,316.9495,1.0,3344.7505,1.0,3344.7505
-500,2000,26,3548.198,373.2415,1.0,3548.198,1.0,3548.198
-450,2000,28,3642.9615,319.4135,1.0,3642.9615,1.0,3642.9615
-400,2000,31,3705.778,367.1865,1.0,3705.778,1.0,3705.778
-350,2000,33,3800.227,318.9415,1.0,3800.227,1.0,3800.227
-300,2000,36,3854.88,370.5675,1.0,3854.88,1.0,3854.88
-250,2000,38,3868.205,318.0885,1.0,3868.205,1.0,3868.205
-200,2000,41,3905.505,370.098,1.0,3905.505,1.0,3905.505
-150,2000,43,3921.3735,318.16,1.0,3921.3735,1.0,3921.3735
-100,2000,46,3962.7205,372.455,1.0,3962.7205,1.0,3962.7205
-50,2000,48,3915.868,318.1685,1.0,3915.868,1.0,3915.868
0,2000,50,3883.811,365.9995,1.0,3883.811,1.0,3883.811
50,2000,53,3898.351,316.171,1.0,3898.351,1.0,3898.351
100,2000,55,3924.833,369.322,1.0,3924.833,1.0,3924.833
150,2000,58,3908.3585,317.7435,1.0,3908.3585,1.0,3908.3585
200,2000,60,3919.065,371.486,1.0,3919.065,1.0,3919.065
250,2000,63,3867.901,317.4615,1.0,3867.901,1.0,3867.901
300,2000,65,3840.523,369.9095,1.0,3840.523,1.0,3840.523
350,2000,68,3785.5115,317.5865,1.0,3785.5115,1.0,3785.5115
400,2000,70,3690.845,366.2775,1.0,3690.845,1.0,3690.845
450,2000,73,3641.3835,318.7385,1.0,3641.3835,1.0,3641.3835
500,2000,75,3493.137,367.1165,1.0,3493.137,1.0,3493.137
550,2000,78,3369.28,319.643,1.0,3369.28,1.0,3369.28
600,2000,80,3130.811,368.212,1.0,3130.811,1.0,3130.811
650,2000,83,2787.1435,319.6695,1.0,2787.1435,1.0,2787.1435
670,2000,84,2542.836,316.436,1.0,2542.836,1.0,2542.836
690,2000,85,2288.984,320.6475,1.0,2288.984,1.0,2288.984
